question,answer,context
What do you mean by solar system ? What does it consist ?,"The sun and the celestial bodies which revolve around it form the solar system. It consist of large number of bodies such as planets, comets, asterids and meteors.","The Sun and the celestial bodies which revolve around it form the solar system. It consists of large number of bodies such as planets, comets, asteroids and meteors. The gravitational attraction between the Sun and these objects keeps them revolving around it. The Earth, as you know, also revolves around the Sun. It is a member of the solar system. It is a planet. There are seven other planets that revolve around the Sun. The eight planets in their order of distance from the Sun are: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus and Neptune. Figure 17.17 shows a schematic view of the solar system.
 "
What is IAU ?,IAU — International Astronomical Union. 1,"(i) Inner planets
 (a) Saturn
 (ii) Outer planets
 (ii) Outer planets
 "
Why pluto is now not considerd as a planet of solar system ?,"The IAU adopted a new definition of a planet. Pluto does not fit in this definition. Hence, it is no longer a planet of the solar system. 1","Till 2006 there were nine planets in the solar system. Pluto was the farthest planet from the Sun. In 2006, the International Astronomical Union (IAU) adopted a new definition of a planet. Pluto does not fit this definition. It is no longer a planet of the solar system.
 "
Define satellite. Name the natural satellite of the Earth.,Any celestial body revolving around another celestial body is called its satellite. Moon is natural satellite of earth.,"Some planets are known to have moons/satellites revolving round them. Any celestial body revolving around another celestial body is called its satellite. The Earth can be said to be a satellite of the Sun, though generally we call it a
 "
Why is venus called morning star or evening star ?,Venus appears in the Eastern sky before sunrise. Sometimes it appears in Western sky just after sunlight. Therefore it is often called a morning or an evening star.,"Sometimes Venus appears in the eastern sky before sunrise. Sometimes it appears in the western sky just after sunset. Therefore it is often called a morning or an evening star, although it is not a star. Try to locate Venus in the night sky. Venus has no moon or satellite of its own. Rotation of Venus on its axis is somewhat unusual. It rotates from east to west while the Earth rotates from west to east.
 Activity 17.10 Find out from some newspaper or from an almanac the time when Venus is visible in the sky. You can easily recognise Venus by its brightness. Remember that Venus cannot be seen very high in the sky. You must try to observe Venus either 1-3 hours before sunrise or 1-3 hours after sunset.
 "
Why does earth have seasons ?,"The axis of rotation of the Earth is not perpendicular to the path of its orbit, but it is slightly tilted. The tilt is responsible for the change of seasons on the earth.","You are familiar with the equator of the Earth. The plane of the equator is called the equatorial plane (Fig. 17.21). The plane in which the Earth revolves round the Sun is called the orbital plane of the Earth (Fig. 17.21). These two planes are inclined to each other at an angle of 23.5º. This means that the axis of the Earth is inclined to its orbital plane at an angle of 66.5º.
 Jupiter (Brihaspati) Jupiter is the largest planet of the solar system. It is so large that about 1300 earths can be placed inside this giant planet. However, the mass of Jupiter is about 318 times that of our Earth. It rotates very rapidly on its axis. Jupiter has a large number of satellites. It also has faint rings around it. You can easily recognise Jupiter as it appears quite bright in the sky. If you observe it with the help of a telescope, you can also see four of its large moons (Fig. 17.22).
 Fig. 17.21 : Earth rotates on a tilted axis
 Fig. 17.21 : Earth rotates on a tilted axis
 "
Write short note on Jupiter.,Jupiter is the largest planet of the solar system. The mass of Jupiter is about 318 times that of our Earth. It rotates very rapidly on its axis. It has large number of satellites. 1,"Jupiter (Brihaspati) Jupiter is the largest planet of the solar system. It is so large that about 1300 earths can be placed inside this giant planet. However, the mass of Jupiter is about 318 times that of our Earth. It rotates very rapidly on its axis. Jupiter has a large number of satellites. It also has faint rings around it. You can easily recognise Jupiter as it appears quite bright in the sky. If you observe it with the help of a telescope, you can also see four of its large moons (Fig. 17.22).
 PLANETS
 Ü
 Jupiter is the largest planet of the solar system.
 "
Name the inner and outer planets of solar system.,"Inner planets : Mercury, Venus, the Earth, Mars. Outer planets : Jupiter, Saturn, Uranus, Neptune.","(i) Inner planets
 (a) Saturn
 (ii) Outer planets
 "
What are meteor showers ?,"When the earth crosses the tail of a comet, swarms of meteors are seen. These are known as meteor showers.","Many comets are known to appear periodically. One such comet is Halley’s comet, which appears after nearly every 76 years. It was last seen in 1986. Can you tell, when Halley’s comet will be visible again? Superstitions about the Comets Some people think that comets are messengers of disasters, such as wars, epidemics and floods. But these are all myths and superstitions. Appearance of a comet is a natural phenomenon. We have no reason to be afraid of it.
 Fig. 17.27 : Streak of a Meteor
 Fig. 17.27 : Streak of a Meteor
 Some meteors are large and so they can reach the Earth before they evaporate completely. The body that reaches the Earth is called a meteorite. Meteorites help scientists in investigating the nature of the material from which the solar system was formed. Meteor Showers When the Earth crosses the tail of a comet, swarms of meteors are seen. These are known as meteor showers. Some meteor showers occur at regular intervals each year. You can find the time of their appearance from a scientific magazine or from the internet.
 Some meteors are large and so they can reach the Earth before they evaporate completely. The body that reaches the Earth is called a meteorite. Meteorites help scientists in investigating the nature of the material from which the solar system was formed. Meteor Showers When the Earth crosses the tail of a comet, swarms of meteors are seen. These are known as meteor showers. Some meteor showers occur at regular intervals each year. You can find the time of their appearance from a scientific magazine or from the internet.
 Meteors and Meteorites At night, when the sky is clear and the moon is not there, you may sometimes see bright streaks of light in the sky (Fig. 17.27). These are commonly known as shooting stars, although they are not stars. They are called meteors. A meteor is usually a small object that occasionally enters the earth’s atmosphere. At that time it has a very high speed. The friction due to the atmosphere heats it up. It glows and evaporates quickly. That is why the bright steak lasts for a very short time.
 "
What is the superstitions about the comets ?,"Some people think that comets are messengers of disasters, such as wars, epidemics and floods. But these are all myths and superstitions.","Many comets are known to appear periodically. One such comet is Halley’s comet, which appears after nearly every 76 years. It was last seen in 1986. Can you tell, when Halley’s comet will be visible again? Superstitions about the Comets Some people think that comets are messengers of disasters, such as wars, epidemics and floods. But these are all myths and superstitions. Appearance of a comet is a natural phenomenon. We have no reason to be afraid of it.
 Fig. 17.27 : Streak of a Meteor
 Some meteors are large and so they can reach the Earth before they evaporate completely. The body that reaches the Earth is called a meteorite. Meteorites help scientists in investigating the nature of the material from which the solar system was formed. Meteor Showers When the Earth crosses the tail of a comet, swarms of meteors are seen. These are known as meteor showers. Some meteor showers occur at regular intervals each year. You can find the time of their appearance from a scientific magazine or from the internet.
 Some meteors are large and so they can reach the Earth before they evaporate completely. The body that reaches the Earth is called a meteorite. Meteorites help scientists in investigating the nature of the material from which the solar system was formed. Meteor Showers When the Earth crosses the tail of a comet, swarms of meteors are seen. These are known as meteor showers. Some meteor showers occur at regular intervals each year. You can find the time of their appearance from a scientific magazine or from the internet.
 Meteors and Meteorites At night, when the sky is clear and the moon is not there, you may sometimes see bright streaks of light in the sky (Fig. 17.27). These are commonly known as shooting stars, although they are not stars. They are called meteors. A meteor is usually a small object that occasionally enters the earth’s atmosphere. At that time it has a very high speed. The friction due to the atmosphere heats it up. It glows and evaporates quickly. That is why the bright steak lasts for a very short time.
 "
What is the distance between the Earth and the Sun ?,"150,000,000  kms. or 1 A.U.","150
 150
 150
 "
Define sound.,Sound is a type of energy that makes us hear.,"SOUND
 "
What is vibration ?,The to and fro motion of an object is called vibration.,"As you learnt in Class VII the to and fro or back and forth motion of an object is called vibration. When a tightly stretched band is plucked, it vibrates and produces sound. When it stops vibrating, it does not produce any sound.
 "
What is the other name of voice box ?,Larynx.,"LARYNX
 "
Which two properties of sound help us to recognize it ?,"Frequency, amplitude.","AMPLITUDE
 "
"Which animal can hear sounds of frequencies higher than 20,000 Hz ?","Dogs, cats.","Cat
 3.
 Dog
 "
Write a common ill effect of noise pollution.,Hypertension.,"PRESSURE
 "
Does sound travel through all mediums?,"Yes, it travels through all mediums such as solid, liquid and gases.","Sound travels through a medium (gas, liquid
 Ü
 or solid). It cannot travel in vacuum.
 "
Write a precaution to prevent eardrum damage.,"Never put a sharp, pointed or hard thing into your ear.","Eardrum
 Activity 13.11 Take a metallic tumbler and a tablespoon. Strike the tablespoon gently at the brim of the tumbler.
 Fig. 13.16 : Human ear
 Fig. 13.16 : Human ear
 We must NEVER put a sharp, pointed or hard thing into our ear. It can damage the eardrum. The damaged eardrum can impair hearing.
 We must NEVER put a sharp, pointed or hard thing into our ear. It can damage the eardrum. The damaged eardrum can impair hearing.
 "
Define 1 Hertz.,1 Hz is one oscillation per second.,"You have already learnt in earlier classes about the oscillatory motion and its time period. The number of oscillations per second is called the frequency of oscillation. Frequency is expressed in hertz. Its symbol is Hz. A frequency of 1 Hz is one oscillation per second. If an object oscillates 20 times in one second, what would be its frequency? You can recognise many familiar sounds without seeing the objects producing them. How is it possible? These sounds must be different to enable you to recognise them. Have you ever thought what factors make them different? Amplitude and frequency are two important properties of any sound. Can we differentiate sounds on the basis of their amplitudes and frequencies? Loudness and Pitch
 The number of oscillations or vibrations per
 Ü
 second is called the frequency of oscillation.
 "
What is the unit of loudness. At and after which range noise becomes painful ?,"Decibel, at about 80 dB and afterwards the noise becomes audibly painful.","Above 80 dB the noise becomes physically painful.
 "
Write full form of NPK.,"Nitrogen, Phosphorus, Potassium.","Nitrogen
 "
What is winnowing ?,Winnowing is a process by which small farmers do the separation of grains by chaff.,"Farmers with small holdings of land do the separation of grain and chaff by winnowing (Fig. 1.9). You have already studied this in Class VI.
 "
When was agriculture born ?,"When nomadic people cultivated land and produced rice, wheat and other food crops, agriculture was born.","1.1 Agricultural Practices T ill 10,000 B.C.E. people were nomadic. They were wandering in groups from place to place in search of food and shelter. They ate raw fruits and vegetables and started hunting animals for food. Later, they could cultivate land and produce rice, wheat and other food crops. Thus, was born ‘Agriculture’.
 "
What are the crops grown generally from June to September called ?,"Crops grown generally from June to September are called Kharif crops. e.g., maize, groundnut, soyabean.","Kharif crops
 "
What is the first step before growing a crop ?,The first step before growing a crop is the preparation of soil.,"Exercises 1. Select the correct word from the following list and fill in the blanks. float, water, crop, nutrients, preparation (a) The same kind of plants grown and cultivated on a large scale at a place is called _____________. (b) The first step before growing crops is _____________ of the soil. 13
 "
What are the main tools used for agriculture practices ?,"The main tools are plough, hoe and cultivator.","Cultivator : Nowadays ploughing is done by tractor-driven cultivator. The use of cultivator saves labour and time. [Fig. 1.1 (c)].
 Fig. 1.1 (c) : Cultivator driven by a tractor
 "
What will happen if freshly harvested grains are stored without drying ?,"Grains should be properly dried to reduce the moisture and this prevents the attack by insects pests, bacteria and fungi.","Storage of produce is an important task. If the harvested grains are to be kept for longer time, they should be safe from moisture, insects, rats and microorganisms. Harvested grains have more moisture. If freshly harvested grains (seeds) are stored without drying, they may get spoilt or attacked by organisms, making them unfit for use or for germination. Hence, before storing them, the grains are properly dried in the sun to reduce the moisture in them. This prevents the attack by insect pests, bacteria and fungi.
 "
Where is the sprinkler water system useful ?,Sprinkle water system is useful on the uneven land and at the land where water is not available. It is good for sandy soil.,"Modern Methods of Irrigation Modern methods of irrigation help us to use water economically. The main methods used are as follows: (i) Sprinkler System: This system is more useful on the uneven land where sufficient water is not available. The perpendicular pipes, having rotating nozzles on top, are joined to the main pipeline at regular intervals. When water is allowed to flow through the main pipe under pressure with the help of a pump, it escapes from the rotating nozzles. It gets sprinkled on the crop as if it is raining. Sprinkler is very useful for lawns, coffee plantation and several other crops [Fig. 1.5 (a)].
 Fig. 1.5 (a) : Sprinkler system
 Fig. 1.5 (a) : Sprinkler system
 (ii) Drip system : In this system, the water falls drop by drop directly near the roots. So it is called drip system. It is the best technique for watering fruit plants, gardens and trees [Fig. 1.5(b)]. Water is not wasted at all. It is a boon in regions where availability of water is poor.
 "
Why traditional irrigation methods are cheaper ?,Cattle or human labour is used in these methods so they are cheaper.,"Traditional Methods of Irrigation The water available in wells, lakes and canals is lifted up by different methods in different regions, for taking it to the fields. Cattle or human labour is used in these methods. So these methods are cheaper, but less efficient. The various traditional ways are: (i) moat (pulley -system) (ii) chain pump Fig. 1.4 (a) : Moat
 "
Name two harvest festivals celebrated in India.,"Pongal, Baisakhi.","TO PIPARIYA NEEMGHAN
 PANARPANI GATE
 PANARPANI GATE
 "
What is the process of loosening and turning of the soil called ?,Tilling or ploughing.,"turning and loosening of soil is very important for cultivation of crops. The process of loosening and turning of the soil is called tilling or ploughing. This is done by using a plough. Ploughs are made of wood or iron. If the soil is very dry, it may need watering before ploughing. The ploughed field may have big clumps of soil called crumbs. It is necessary to break these crumbs. Levelling the field is beneficial for sowing as well as for irrigation. Levelling of soil is done with the help of a leveller. Sometimes, manure is added to the soil before tilling. This helps in proper mixing of manure with soil. The soil is moistened before sowing. Agricultural Implements Before sowing the seeds, it is necessary to break soil clumps to get better yield. This is done with the help of various tools. The main tools used for this purpose are the plough, hoe and cultivator.
 Plough : This is being used since ancient times for tilling the soil, adding fertilisers to the crop, removing the weeds and turning the soil. This is made of wood and is drawn by a pair of bulls or other animals (horses and camels). It contains a strong triangular iron strip called ploughshare. The main part of the plough is a long log of wood which is called a ploughshaft. There is a handle at one end of the shaft. The other end is attached to a beam which is placed on the bulls’ necks. One pair of bulls and a man can easily operate the plough [Fig. 1.1 (a)]. The indigenous wooden plough is increasingly being replaced by iron ploughs nowadays. Hoe : It is a simple tool which is used for removing weeds and for loosening the soil. It has a long rod of wood or iron. A strong, broad and bent plate of iron is fixed to one of its ends and
 Ploughing the field
 "
What is a strong triangular iron strip of plough called ?,Plough share.,"Plough : This is being used since ancient times for tilling the soil, adding fertilisers to the crop, removing the weeds and turning the soil. This is made of wood and is drawn by a pair of bulls or other animals (horses and camels). It contains a strong triangular iron strip called ploughshare. The main part of the plough is a long log of wood which is called a ploughshaft. There is a handle at one end of the shaft. The other end is attached to a beam which is placed on the bulls’ necks. One pair of bulls and a man can easily operate the plough [Fig. 1.1 (a)]. The indigenous wooden plough is increasingly being replaced by iron ploughs nowadays. Hoe : It is a simple tool which is used for removing weeds and for loosening the soil. It has a long rod of wood or iron. A strong, broad and bent plate of iron is fixed to one of its ends and
 beam
 ploughshaft ploughshare
 ploughshaft ploughshare
 "
Who increases the number of friendly microbes ?,The loosened soil.,"1.3 Preparation of Soil The preparation of soil is the first step before growing a crop. One of the most important tasks in agriculture is to turn the soil and loosen it. This allows the roots to penetrate deep into the soil. The loose soil allows the roots to breathe easily even when they go deep into the soil. Why does the loosening of soil allow the roots to breathe easily? The loosened soil helps in the growth of earthworms and microbes present in the soil. These organisms are friends of the farmer since they further turn and loosen the soil and add humus to it. But why the soil needs to be turned and loosened? You have learnt in the previous classes that soil contains minerals, water, air and some living organisms. In addition, dead plants and animals get decomposed by soil organisms. In this way, various nutrients in the dead organisms are released back into the soil. These nutrients are again absorbed by plants. Since only a few centimetres of the top layer of soil supports plant growth, turning and loosening of soil brings the nutrient-rich soil to the top so that plants can use these nutrients. Thus,
 "
The irrigation system that sprinkles water on the crops as if it is raining ?,Sprinkle water system.,"Modern Methods of Irrigation Modern methods of irrigation help us to use water economically. The main methods used are as follows: (i) Sprinkler System: This system is more useful on the uneven land where sufficient water is not available. The perpendicular pipes, having rotating nozzles on top, are joined to the main pipeline at regular intervals. When water is allowed to flow through the main pipe under pressure with the help of a pump, it escapes from the rotating nozzles. It gets sprinkled on the crop as if it is raining. Sprinkler is very useful for lawns, coffee plantation and several other crops [Fig. 1.5 (a)].
 Fig. 1.5 (a) : Sprinkler system
 Fig. 1.5 (a) : Sprinkler system
 (ii) Drip system : In this system, the water falls drop by drop directly near the roots. So it is called drip system. It is the best technique for watering fruit plants, gardens and trees [Fig. 1.5(b)]. Water is not wasted at all. It is a boon in regions where availability of water is poor.
 "
Name the property of metal by which it can be drawn into wires ?,Ductility,"Generally, metals are ductile.
 (d)
 Some non-metals are ductile. 53
 Ductility
 "
Name the materials that are not sonorous and are poor conductors of heat and electricity.,Non-metals.,"Non-metals
 "
Name the metal that is found in liquid state at room temperature.,Mercury.,"Mercury
 "
How are metal oxides formed ?,Metals oxides are formed when metal reacts with oxygen.,"On burning, metals react with oxygen to produce metal oxides which are basic in
 HARDNESS
 nature. Non-metals react with oxygen to produce non- metallic oxides which are acidic
 "
Write two physical properties of metal.,"Ductility, sonorous.","Generally, metals are ductile.
 (d)
 Some non-metals are ductile. 53
 Ductility
 "
Why is immersion rod used for heating liquids is made of metallic substances ? ,It is because metallic substances are good conductors of electricity.,"Generally, metals are good conductors of heat and electricity but non-metals are poor
 "
Why are sodium and potassium are stored in Kerosene ? ,It is because they react vigorously with oxygen and water.,"Let us see how metals and non-metals react with water. Sodium metal is very reactive. It reacts vigorously with oxygen and water. A lot of heat is generated in the reaction. It is, therefore, stored in kerosene.
 On burning, metals react with oxygen to produce metal oxides which are basic in
 HARDNESS
 nature. Non-metals react with oxygen to produce non- metallic oxides which are acidic
 "
Why copper cannot displace zinc from its salt solution ? ,It is because zinc is more reactive than copper. MATERIALS : METALS AND NON-METALS,"arbitrary. It follows definite rules based on facts. And the rule here is that zinc is more reactive than copper and iron. A more reactive metal can replace a less reactive metal, but a less reactive one cannot replace a more reactive metal. Now you can understand why there are no displacement reactions in beakers D and E also. Can you guess the sequence of metals from more reactive to less reactive among zinc, iron and copper?
 "
Q. 1.,Ans.,"A
 "
Q. 2.,"What is a force ? Force could be a push or pull on an object. What is the magnitude of the force when it acts in the opposite directions on an object ? If two forces act in the opposite directions on an object, the net force acting on it is the difference between the two forces.","FORCE
 rection of its motion or both implies a change
 FORCE
 "
Q. 3.,Ans.,"A
 "
Q. 4.,What happens when more than one force may be acting on an object ? The effect on the object is due to the net force acting on it. What is the contact force ? A force that appears due to physical contact of two objects is called contact force.,"In general, more than one force may be acting on an object. However, the effect on the object is due to the net force acting on it.
 "
Q. 5.,Ans.,"A
 "
Q. 6.,Ans.,"A
 "
Q. 7.,Ans.,"A
 "
What would be the pressure if a force of 25 N is applied over an area of 100 m2 ?,Pressure =,"PRESSURE
 "
Q. 9.,Ans.,"A
 "
Q. 10.,Force  0.4 Nm –2 Area 100 = 0.4 Pascals. What is atmosphere ? The envelop of air surrounding the Earth is known as atmosphere. A force can act on an object without being in contact with it. What is it called ? It is called non-contact force.,"11.10 Atmospheric Pressure You know that there is air all around us. This envelop of air is known as the atmosphere. The atmospheric air extends up to many kilometres above the surface of the earth. The pressure exerted by this air is known as atmospheric pressure. We know that pressure is force per unit area. If we imagine a unit area and a very long cylinder standing on it filled with air, then the force of gravity on the air in this cylinder is the atmospheric pressure (Fig. 11.17).
 "
Q. 1.,Ans.,"A
 "
Q. 2.,Ans.,"A
 "
A single celled animal. Amoeba A human cell that can change shape. White Blood Cell. A cell in the human body that receives and transfers messages.,Nerve cell.,"Optic Nerve
 Plant Cell
 Animal Cell
 "
A group of similar cells performing a specific function.,Tissue.,"TISSUE
 "
What are the basic components of a cell ?,The basic components of cell are : — The cell membrane — Cytoplasm — Nucleus.,"The basic components of a cell are cell membrane, cytoplasm and nucleus (Fig. 8.7). The cytoplasm and nucleus are enclosed within the cell membrane, also called the plasma membrane. The membrane separates cells from one another and also the cell from the surrounding medium. The plasma membrane is porous and allows the 93
 "
A solution added to make onion peel slide.,Methylene blue.,"Fig. 2.7 : The Nitrogen fixing cyanobacteria (blue green algae)
 "
Various components present in cytoplasm. Name them.,"They are mitochondria, golgi bodies, ribosomes, vacuoles etc.","Cytoplasm It is the jelly-like substance present between the cell membrane and the nucleus. Various other components, or organelles, of cells are present in the cytoplasm. These are mitochondria, golgi bodies, ribosomes, etc. You will learn about them in later classes.
 "
Which is biodegradable ? Paper bag or polythene bag ?,Paper bag.,"Paper
 "
Define cellulose.,Cellulose is made up of a large number of glucose units.,"Polymers occur in nature also. Cotton, for example, is a polymer called cellulose. Cellulose is made up of a large number of glucose units.
 "
What are natural fibres ?,"The fibres obtained by nature are called natural fibres. e.g., cotton.","While natural fibres are obtained from plants and animals, synthetic fibres are obtained by chemical processing of petrochemicals. Like
 "
What are artificial fibres ?,"The fibres made by human being are called artificial fibres. e.g., polyester.","Why did you label some fibres as artificial? You have read in your previous classes that natural fibres like cotton, wool, silk, etc., are obtained from plants or animals. The synthetic fibres, on the other hand, are made by human beings. That is why these are called synthetic or man-made fibres.
 "
How rayon is formed ?,Rayon is obtained by chemical treatment of wood pulp.,"for manufacturing synthetic fibres, they are
 THERMOPLASTICS THERMOSETTING
 Depending upon the types of chemicals used called Rayon, Nylon, Polyester and Acrylic.
 it is obtained from wood pulp.
 "
Name any two thermoplastic and thermosetting plastics.,"Thermoplastic – Polyethene, PVC Thermosetting – Melamine, Bakellite.","add hot water to a plastic bottle, it gets deformed. Such plastic which gets deformed easily on heating and can be bent easily are known as thermoplastics. Polythene and PVC are some of the examples of thermoplastics. These are used for manufacturing toys, combs and various types of containers. On the other hand, there are some plastics which when moulded once, can not be softened by heating. These are called thermosetting plastics. Two examples are bakelite and melamine. Bakelite is a poor conductor of heat and electricity. It is used for making electrical switches, handles of various utensils, etc. Melamine is a versatile material. It resists fire and can tolerate heat better than other plastics. It is used for making floor tiles, kitchenware and fabrics which resist fire. Fig. 3.8 shows the various uses of thermoplastics and thermosetting plastics.
 3.5 Plastics as Materials of Choice Today if we think of storing a food item, water, milk, pickles, dry food etc., plastic containers seem most convenient. This is because of their light weight, lower price, good strength and easy handling. Being lighter as compared to metals, plastics are used in cars, aircrafts and spacecrafts, too. The list is endless if we start counting articles like slippers, furniture, decoration pieces, etc. Now, let us discuss the characteristic properties of plastics. Plastic is Non-reactive You know that metals like iron get rusted when left exposed to moisture and air. But plastics do not react with water and air. They are not corroded easily. That is why they are used to store various kinds of material, including many chemicals. Plastic is Light, Strong and Durable
 Articles made of thermosetting plastics
 Articles made of thermosetting plastics
 Articles made of thermoplastics Fig. 3.8 : Some articles made of plastic
 THERMOPLASTICS THERMOSETTING
 "
Name the material that is used to make ropes for rock climbing.,Nylon.,"Nylon
 Nylon is another man-made fibre. In 1931, it was made without using any natural raw material (from plant or animal). It was prepared from coal, water and air. It was the first fully synthetic fibre. Nylon fibre was strong, elastic and light. It was lustrous and easy to wash. So, it became very popular for making clothes. We use many articles made from nylon, such as socks, ropes, tents, toothbrushes, car seat belts, sleeping bags, curtains, etc. (Fig. 3.3). Nylon is
 Fig. 3.3: Various articles made from nylon
 "
Why terylene is a popular polyester ?,Because it can be drawn into very fine fibre that can be woven like any other yarn.,"fibres that can be woven like any other yarn.
 "
Name the articles made from PET.,"Bottles, utensils, films, wires etc.","Aluminium foils are used to wrap food items. Immersion rods for heating liquids are made up of metallic substances. Copper cannot displace zinc from its salt solution. Sodium and potassium are stored in kerosene.
 "
What is the versatility about melamine ?,It resists fire and can tolerate heat better than plastic.,"Plastics are Poor Conductors You have learnt above that plastics are poor conductors of heat and electricity. That is why electrical wires have plastic covering, and handles of screw drivers are made of plastic. As mentioned above, handles of frying pans are also made of plastic. Did You Know? Ü Plastics find extensive use in the healthcare industry. Some examples of their use are the packaging of tablets, threads used for stitching wounds, syringes, doctors’ gloves and a number of medical instruments. Ü Special plastic cookware is used in microwave ovens for cooking food. In microwave ovens, the heat cooks the food but does not affect the plastic vessel. Ü Teflon is a special plastic on which oil and water do not stick. It is used for non-stick coating on cookwares.
 Ü Fire-proof plastics: Although synthetic fibre catches fire easily, it is interesting to know that the uniforms of firemen have coating of melamine plastic to make them flame resistant.
 Ü Fire-proof plastics: Although synthetic fibre catches fire easily, it is interesting to know that the uniforms of firemen have coating of melamine plastic to make them flame resistant.
 "
Is the friction same for all the surfaces ?,"No, it is not same for all the surfaces.","reflecting surface, lie in the same plane.
 "
Which surface produces more friction ?,Rough surfaces produce more friction.,"Friction can be increased by making a surface rough.
 "
Which surface produces less friction ?,Smooth surfaces produce less friction.,"Friction can be increased by making a surface rough.
 "
What is the direction of frictional force ?,Its direction is always opposite to the direction of motion.,"Force has magnitude as well as direction.
 rection of its motion or both implies a change
 FORCE
 in its state of motion. Ü
 "
Which is less sliding friction or static friction ?,Matchstick catches fire due to friction.,"On the other hand, friction is an evil, too. It wears out the materials whether they are screws, ball bearings or soles of shoes (Fig. 12.8). You must have seen worn-out steps of foot over-bridges at railway stations. Friction can also produce heat. Vigorously rub your palms together for a few minutes (Fig. 12.9). How do you feel? When you strike a matchstick against the rough surface, it catches fire (Fig. 12.10). You might have observed that the jar of a mixer becomes hot when it is run
 Fig. 12.10 : Stricking a matchstick produces fire by friction
 Fig. 12.10 : Stricking a matchstick produces fire by friction
 "
What makes things visible ?,Light makes things visible.,"LIGHT
 "
What is mirror ?,A polished or a shiny surface can act as a mirror.,"Mirror
 "
What is the relation between angle of incidence and angle of reflection ?,The angle of incidence is always equal to angle of reflection.,"Do you see any relation between the angle of incidence and the angle of reflection. Are they approximately equal? If the experiment is carried out carefully, it is seen that the angle of incidence is always equal to the angle of reflection. This is one of the laws of reflection. Let us perform another activity on reflection.
 Fig. 16.2 : Drawing the normal
 between the normal and incident ray is called the angle of incidence (∠i). The angle between the normal and the reflected ray is known as the angle of reflection (∠r) (Fig. 16.3). Measure the angle of incidence and the angle of reflection. Repeat the activity several times by changing the angle of incidence. Enter the data in Table 16.1.
 Angle of incidence is equal to the angle of reflection. (a) Always (c) Under special conditions
 "
What is lateral inversion ?,"In an image formed by a mirror, the left side appears on the right side and the right side appears on the left side. This is known as lateral inversion.","You may recall that in an image formed by a mirror the left of the object appears on the right and the right appears on the left. This is known as lateral inversion.
 "
What are multiple images ?,Images formed by mirrors placed at an angle to one another are called multiple images. 1,"Two mirrors inclined to each other give multiple images.
 "
What is sunlight ? How many colours it consists of ?,The sunlight is referred to as white light. It consists of seven colours.,"16.6 Sunlight — White or Coloured
 disc. At the other end, touching the mirrors, fix a circular plane glass plate [Fig. 16.12(c)]. Place on this glass plate several small pieces of coloured glass (broken pieces of coloured bangles). Close this end of the tube by a ground glass plate. Allow enough space for the colour pieces to move around.
 In Class VII, you learnt that the sunlight is referred to as white light. You also learnt that it consists of seven colours. Here is another activity (Activity 16.7) showing that sunlight consists of several colours.
 Sunlight, called white light, consists of seven
 "
Where is image formed in human eye ?,Image is formed on retina in human eye. 1,"Fig. 16.5 : Image formation in a plane mirror
 "
What is the work of iris ?,Iris controls the amount of light entering into the eye through the pupil.,"cornea (Fig. 16.14). Behind the cornea, we find a dark muscular structure called iris. In the iris, there is a small opening called the pupil. The size of the pupil is controlled by the iris. The iris is that part of eye which gives it its distinctive colour. When we say that a person has green eyes, we refer actually to the colour of the iris. The iris controls the amount of light entering into the eye. Let us see how. Ciliary muscle Iris
 "
How may kinds of nerve cells are there in retina ?,There are two kinds of cells.  Cones : Sensitive to bright light.  Rods : Sensitive to dim light. ,"Class VII. The lens focuses light on the back of the eye, on a layer called retina (Fig. 16.14). The retina contains several nerve cells. Sensations felt by the nerve cells are then transmitted to the brain through the optic nerve. There are two kinds of cells– (i) cones, which are sensitive to bright light and (ii) rods, which are sensitive to dim light. Cones sense colour. At the junction of the optic nerve and the retina, there are no sensory cells, so no vision is possible at that spot. This is called the blind spot. Its existence can be demonstrated as follows:
 "
Who invented the system of reading for blind people ?,Louis Braille invented the system of reading for blind people.,"16.10 What is the Braille System? The most popular resource for visually challenged persons is Braille. Louis Braille, himself a visually challenged person, developed a system for visually challenged persons and published it in 1821.
 Braille system has 63 dot patterns or characters. Each character represents a letter, a combination of letters, a common word or a grammatical sign. Dots are arranged in cells of two vertical rows of three dots each. Patterns of dots to represent some English letters and some common words are shown below.
 Louis Braille
 Visually impaired persons can read and write using the Braille system.
 "
At what angles are mirrors inclined in a Kalaeidoscope and a periscope respectively ?,Kaleidoscope – 60° Periscope – 45°,"Kaleidoscope
 Activity 16.6 To make a kaleidoscope, get three rectangular mirror strips each about 15 cm long and 4 cm wide. Join them together to form a prism as shown in Fig. 16.12(a). Fix this arrangement of mirrors in a circular cardboard tube or tube of a thick chart paper. Make sure that the tube is slightly longer than the mirror strips. Close one end of the tube by a cardboard disc having a hole in the centre, through which you can see [Fig. 16.12(b)]. To make the disc durable, paste a piece of transparent plastic sheet under the cardboard
 "
What is combustion ?,A chemical process in which a substance burns in the presence of oxygen to release heat is called combustion.,"A chemical process in which a substance reacts with oxygen to give off heat is called combustion. The substance that undergoes combustion is said to be combustible. It is also called a fuel. The fuel may be solid, liquid or gas. Sometimes, light is also given off during combustion, either as a flame or as a glow. In the reactions mentioned above magnesium and charcoal are combustible substances.
 "
